query_type,victim_model,method,method_key,metric,n_after_main_rule
stem,llama-4,flipattack,flipattack,score,156
stem,llama-4,Our_baseline,our_baseline,refusal,156
stem,llama-4,Our_baseline,our_baseline,score,156
stem,llama-4,Our_meli_query,our_meli_query,refusal,156
stem,llama-4,Our_meli_query,our_meli_query,score,156
stem,llama-4,Our_neutral_question,our_neutral_question,refusal,156
stem,llama-4,Our_neutral_question,our_neutral_question,score,156
stem,llama-4,Our_trap,our_trap,refusal,156
stem,llama-4,Our_trap,our_trap,score,156
stem,llama-4,PAP,pap,refusal,156
stem,llama-4,PAP,pap,score,156
stem,llama-4,PAP_Authority endorsement,pap_authority_endorsement,refusal,156
stem,llama-4,PAP_Authority endorsement,pap_authority_endorsement,score,156
stem,llama-4,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,156
stem,llama-4,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,156
stem,llama-4,PAP_Expert Endorsement,pap_expert_endorsement,refusal,156
stem,llama-4,PAP_Expert Endorsement,pap_expert_endorsement,score,156
stem,llama-4,PAP_Logical appeal,pap_logical_appeal,refusal,156
stem,llama-4,PAP_Logical appeal,pap_logical_appeal,score,156
stem,llama-4,PAP_Misrepresentation,pap_misrepresentation,refusal,156
stem,llama-4,PAP_Misrepresentation,pap_misrepresentation,score,156
stem,llama-4,SQL_responses,sql_responses,refusal,156
stem,llama-4,SQL_responses,sql_responses,score,156
stem,qwen3-next,flipattack,flipattack,refusal,156
stem,qwen3-next,flipattack,flipattack,score,156
stem,qwen3-next,Our_baseline,our_baseline,refusal,156
stem,qwen3-next,Our_baseline,our_baseline,score,156
stem,qwen3-next,Our_meli_query,our_meli_query,refusal,156
stem,qwen3-next,Our_meli_query,our_meli_query,score,156
stem,qwen3-next,Our_neutral_question,our_neutral_question,refusal,156
stem,qwen3-next,Our_neutral_question,our_neutral_question,score,156
stem,qwen3-next,Our_trap,our_trap,refusal,156
stem,qwen3-next,Our_trap,our_trap,score,156
stem,qwen3-next,PAP,pap,refusal,156
stem,qwen3-next,PAP,pap,score,156
stem,qwen3-next,PAP_Authority endorsement,pap_authority_endorsement,refusal,156
stem,qwen3-next,PAP_Authority endorsement,pap_authority_endorsement,score,156
stem,qwen3-next,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,156
stem,qwen3-next,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,156
stem,qwen3-next,PAP_Expert Endorsement,pap_expert_endorsement,refusal,156
stem,qwen3-next,PAP_Expert Endorsement,pap_expert_endorsement,score,156
stem,qwen3-next,PAP_Logical appeal,pap_logical_appeal,refusal,156
stem,qwen3-next,PAP_Logical appeal,pap_logical_appeal,score,156
stem,qwen3-next,PAP_Misrepresentation,pap_misrepresentation,refusal,156
stem,qwen3-next,PAP_Misrepresentation,pap_misrepresentation,score,156
stem,qwen3-next,SQL_responses,sql_responses,refusal,156
stem,qwen3-next,SQL_responses,sql_responses,score,156
value,gemini-2.5-flash,cipher,cipher,refusal,159
value,gemini-2.5-flash,cipher,cipher,score,159
value,gemini-2.5-flash,flipattack,flipattack,refusal,159
value,gemini-2.5-flash,flipattack,flipattack,score,159
value,gemini-2.5-flash,Our_meli_query,our_meli_query,refusal,159
value,gemini-2.5-flash,Our_meli_query,our_meli_query,score,159
value,gemini-2.5-flash,Our_neutral_question,our_neutral_question,refusal,159
value,gemini-2.5-flash,Our_neutral_question,our_neutral_question,score,159
value,gemini-2.5-flash,Our_trap,our_trap,refusal,159
value,gemini-2.5-flash,Our_trap,our_trap,score,159
value,gemini-2.5-flash,PAP,pap,refusal,159
value,gemini-2.5-flash,PAP,pap,score,159
value,gemini-2.5-flash,PAP_Authority endorsement,pap_authority_endorsement,refusal,159
value,gemini-2.5-flash,PAP_Authority endorsement,pap_authority_endorsement,score,159
value,gemini-2.5-flash,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,159
value,gemini-2.5-flash,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,159
value,gemini-2.5-flash,PAP_Expert Endorsement,pap_expert_endorsement,refusal,159
value,gemini-2.5-flash,PAP_Expert Endorsement,pap_expert_endorsement,score,159
value,gemini-2.5-flash,PAP_Logical appeal,pap_logical_appeal,refusal,159
value,gemini-2.5-flash,PAP_Logical appeal,pap_logical_appeal,score,159
value,gemini-2.5-flash,PAP_Misrepresentation,pap_misrepresentation,refusal,159
value,gemini-2.5-flash,PAP_Misrepresentation,pap_misrepresentation,score,159
value,gemini-2.5-flash,SQL_responses,sql_responses,refusal,159
value,gemini-2.5-flash,SQL_responses,sql_responses,score,159
value,gpt-4o,cipher,cipher,refusal,159
value,gpt-4o,cipher,cipher,score,159
value,gpt-4o,flipattack,flipattack,refusal,159
value,gpt-4o,flipattack,flipattack,score,159
value,gpt-4o,Our_meli_query,our_meli_query,refusal,159
value,gpt-4o,Our_meli_query,our_meli_query,score,159
value,gpt-4o,Our_neutral_question,our_neutral_question,refusal,159
value,gpt-4o,Our_neutral_question,our_neutral_question,score,159
value,gpt-4o,Our_trap,our_trap,refusal,159
value,gpt-4o,Our_trap,our_trap,score,159
value,gpt-4o,PAP,pap,refusal,159
value,gpt-4o,PAP,pap,score,159
value,gpt-4o,PAP_Authority endorsement,pap_authority_endorsement,refusal,159
value,gpt-4o,PAP_Authority endorsement,pap_authority_endorsement,score,159
value,gpt-4o,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,159
value,gpt-4o,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,159
value,gpt-4o,PAP_Expert Endorsement,pap_expert_endorsement,refusal,159
value,gpt-4o,PAP_Expert Endorsement,pap_expert_endorsement,score,159
value,gpt-4o,PAP_Logical appeal,pap_logical_appeal,refusal,159
value,gpt-4o,PAP_Logical appeal,pap_logical_appeal,score,159
value,gpt-4o,PAP_Misrepresentation,pap_misrepresentation,refusal,159
value,gpt-4o,PAP_Misrepresentation,pap_misrepresentation,score,159
value,gpt-4o,SQL_responses,sql_responses,refusal,159
value,gpt-4o,SQL_responses,sql_responses,score,159
value,gpt-5.1,cipher,cipher,refusal,159
value,gpt-5.1,cipher,cipher,score,159
value,gpt-5.1,flipattack,flipattack,refusal,159
value,gpt-5.1,flipattack,flipattack,score,159
value,gpt-5.1,Our_meli_query,our_meli_query,refusal,159
value,gpt-5.1,Our_meli_query,our_meli_query,score,159
value,gpt-5.1,Our_neutral_question,our_neutral_question,refusal,159
value,gpt-5.1,Our_neutral_question,our_neutral_question,score,159
value,gpt-5.1,Our_trap,our_trap,refusal,159
value,gpt-5.1,Our_trap,our_trap,score,159
value,gpt-5.1,PAP,pap,refusal,159
value,gpt-5.1,PAP,pap,score,159
value,gpt-5.1,PAP_Authority endorsement,pap_authority_endorsement,refusal,159
value,gpt-5.1,PAP_Authority endorsement,pap_authority_endorsement,score,159
value,gpt-5.1,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,159
value,gpt-5.1,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,159
value,gpt-5.1,PAP_Expert Endorsement,pap_expert_endorsement,refusal,159
value,gpt-5.1,PAP_Expert Endorsement,pap_expert_endorsement,score,159
value,gpt-5.1,PAP_Logical appeal,pap_logical_appeal,refusal,159
value,gpt-5.1,PAP_Logical appeal,pap_logical_appeal,score,159
value,gpt-5.1,PAP_Misrepresentation,pap_misrepresentation,refusal,159
value,gpt-5.1,PAP_Misrepresentation,pap_misrepresentation,score,159
value,gpt-5.1,SQL_responses,sql_responses,refusal,159
value,gpt-5.1,SQL_responses,sql_responses,score,159
value,llama-4,cipher,cipher,refusal,159
value,llama-4,cipher,cipher,score,159
value,llama-4,flipattack,flipattack,refusal,159
value,llama-4,flipattack,flipattack,score,159
value,llama-4,Our_meli_query,our_meli_query,refusal,159
value,llama-4,Our_meli_query,our_meli_query,score,159
value,llama-4,Our_neutral_question,our_neutral_question,refusal,159
value,llama-4,Our_neutral_question,our_neutral_question,score,159
value,llama-4,Our_trap,our_trap,refusal,159
value,llama-4,Our_trap,our_trap,score,159
value,llama-4,PAP,pap,refusal,159
value,llama-4,PAP,pap,score,159
value,llama-4,PAP_Authority endorsement,pap_authority_endorsement,refusal,159
value,llama-4,PAP_Authority endorsement,pap_authority_endorsement,score,159
value,llama-4,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,159
value,llama-4,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,159
value,llama-4,PAP_Expert Endorsement,pap_expert_endorsement,refusal,159
value,llama-4,PAP_Expert Endorsement,pap_expert_endorsement,score,159
value,llama-4,PAP_Logical appeal,pap_logical_appeal,refusal,159
value,llama-4,PAP_Logical appeal,pap_logical_appeal,score,159
value,llama-4,PAP_Misrepresentation,pap_misrepresentation,refusal,159
value,llama-4,PAP_Misrepresentation,pap_misrepresentation,score,159
value,llama-4,SQL_responses,sql_responses,refusal,159
value,llama-4,SQL_responses,sql_responses,score,159
value,qwen3-next,cipher,cipher,refusal,159
value,qwen3-next,cipher,cipher,score,159
value,qwen3-next,flipattack,flipattack,refusal,159
value,qwen3-next,flipattack,flipattack,score,159
value,qwen3-next,Our_meli_query,our_meli_query,refusal,159
value,qwen3-next,Our_meli_query,our_meli_query,score,159
value,qwen3-next,Our_neutral_question,our_neutral_question,refusal,159
value,qwen3-next,Our_neutral_question,our_neutral_question,score,159
value,qwen3-next,Our_trap,our_trap,refusal,159
value,qwen3-next,Our_trap,our_trap,score,159
value,qwen3-next,PAP,pap,refusal,159
value,qwen3-next,PAP,pap,score,159
value,qwen3-next,PAP_Authority endorsement,pap_authority_endorsement,refusal,159
value,qwen3-next,PAP_Authority endorsement,pap_authority_endorsement,score,159
value,qwen3-next,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,159
value,qwen3-next,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,159
value,qwen3-next,PAP_Expert Endorsement,pap_expert_endorsement,refusal,159
value,qwen3-next,PAP_Expert Endorsement,pap_expert_endorsement,score,159
value,qwen3-next,PAP_Logical appeal,pap_logical_appeal,refusal,159
value,qwen3-next,PAP_Logical appeal,pap_logical_appeal,score,159
value,qwen3-next,PAP_Misrepresentation,pap_misrepresentation,refusal,159
value,qwen3-next,PAP_Misrepresentation,pap_misrepresentation,score,159
value,qwen3-next,SQL_responses,sql_responses,refusal,159
value,qwen3-next,SQL_responses,sql_responses,score,159
